timestamp,instrument_key,side,qty,price,expiry,tag,pnl
2026-01-02 22:49:50,NSE_FO|40476,SELL,65,71.75,2026-01-06,SYNC_EXISTING,
2026-01-02 22:49:50,NSE_FO|64936,BUY,65,407.05,2026-02-24,SYNC_EXISTING,
2026-01-05 14:07:32,NSE_FO|40476,SELL,65,71.75,2026-01-06,SYNC_EXISTING,
2026-01-05 14:07:32,NSE_FO|64936,BUY,65,407.05,2026-02-24,SYNC_EXISTING,
2026-01-05 15:03:00,NSE_FO|40476,BUY,65,20.50,2026-01-06,MANUAL_FIX_EXIT,3331.25
2026-01-05 15:23:41,NSE_FO|46200,SELL,65,142.45,2026-01-13,SYNC_EXISTING,
2026-01-06 14:09:06,NSE_FO|46200,SELL,65,142.45,2026-01-13,SYNC_EXISTING,
2026-01-06 14:09:06,NSE_FO|64936,BUY,65,407.05,2026-02-24,SYNC_EXISTING,
2026-01-08 12:04:26,NSE_FO|46184,SELL,65,101.65,2026-01-13,SYNC_EXISTING,
2026-01-08 12:04:26,NSE_FO|64936,BUY,65,407.05,2026-02-24,SYNC_EXISTING,
2026-01-08 10:10:42,NSE_FO|46200,BUY,65,242.65,2026-01-13,WEEKLY_EXIT_ADJ,-6513.00
2026-01-08 15:05:25,NSE_FO|46184,BUY,65,222.85,2026-01-13,WEEKLY_EXIT_ADJ,-7878.00
2026-01-08 15:08:14,NSE_FO|46172,SELL,65,88.35,2026-01-13,SYNC_EXISTING,
2026-01-09 11:09:45,NSE_FO|46172,SELL,65,88.35,2026-01-13,SYNC_EXISTING,
2026-01-09 11:09:45,NSE_FO|64936,BUY,65,407.05,2026-02-24,SYNC_EXISTING,
2026-01-09 12:50:40,NSE_FO|46172,BUY,65,224.15,2026-01-13,MANUAL_FIX_TIMEOUT,-8827.00
2026-01-09 12:57:39,NSE_FO|46162,SELL,65,91.65,2026-01-13,SYNC_EXISTING,
2026-01-09 13:20:16,NSE_FO|64871,BUY,65,399.9,N/A,SYNC_EXISTING,
2026-01-09 13:22:25,NSE_FO|46164,SELL,65,96.5,2026-01-13,SYNC_EXISTING,
2026-01-09 13:30:00,NSE_FO|46162,BUY,65,0,2026-01-13,MANUAL_SYNC_SCREENSHOT,510.25
2026-01-09 13:30:00,NSE_FO|UNKNOWN_25850,BUY,0,0,2026-02-24,MANUAL_SYNC_SCREENSHOT,-422.50
2026-01-09 13:30:00,NSE_FO|64936,SELL,65,0,2026-02-24,MANUAL_SYNC_SCREENSHOT,17836.00
2026-01-12 14:32:33,NSE_FO|46166,SELL,65,86.1,2026-01-13,SYNC_EXISTING,
2026-01-12 14:32:33,NSE_FO|64871,BUY,65,399.9,2026-02-24,SYNC_EXISTING,
2026-01-12 15:02:34,NSE_FO|46166,BUY,65,0.0,2026-01-13,WEEKLY_EXIT_ADJ,5596.5
2026-01-12 15:04:46,NSE_FO|47618,SELL,65,0.0,2026-01-20,WEEKLY_ROLL_ENTRY,
2026-01-12 15:23:09,NSE_FO|47618,SELL,65,144.35,2026-01-20,SYNC_EXISTING,
2026-01-13 13:57:42,NSE_FO|47618,SELL,65,144.35,2026-01-20,SYNC_EXISTING,
2026-01-13 13:57:42,NSE_FO|64871,BUY,65,399.9,2026-02-24,SYNC_EXISTING,
2026-01-13 14:06:28,NSE_FO|WEEKLY_PE,BUY,75,100.0,2026-01-10,WEEKLY_EXIT_ADJ,0.0
2026-01-13 14:07:08,NSE_FO|WEEKLY_PE,BUY,75,100.0,2026-01-10,WEEKLY_EXIT_ADJ,0.0
2026-01-13 14:07:08,NSE_FO|NEW_WEEKLY_ATM,SELL,65,100.0,2026-01-10,WEEKLY_ROLL_ENTRY,
2026-01-13 14:07:08,NSE_FO|WEEKLY_PE,BUY,65,100.0,2026-01-10,WEEKLY_EXIT_ADJ,0.0
2026-01-13 14:07:08,NSE_FO|NEW_WEEKLY_ATM,SELL,65,100.0,2026-01-10,WEEKLY_ROLL_ENTRY,
2026-01-13 14:07:08,NSE_FO|NEW_MONTHLY_ATM,BUY,65,100.0,2026-02-24,MONTHLY_ROLL_ENTRY,
2026-01-13 14:07:08,NSE_FO|MONTHLY_PE,SELL,75,100.0,2026-02-24,MONTHLY_EXIT_ADJ,-7500.0
2026-01-13 14:07:08,NSE_FO|WEEKLY_PE,BUY,65,100.0,2026-01-06,WEEKLY_EXIT_ADJ,0.0
2026-01-13 14:07:08,NSE_FO|NEW_WEEKLY_ATM,SELL,65,100.0,2026-01-10,WEEKLY_ROLL_ENTRY,
2026-01-14 11:16:45,NSE_FO|47618,SELL,65,144.35,2026-01-20,SYNC_EXISTING,
2026-01-14 11:16:45,NSE_FO|64871,BUY,65,399.9,2026-02-24,SYNC_EXISTING,
2026-01-21 13:52:58,NSE_FO|58666,SELL,65,116.55,2026-01-27,SYNC_EXISTING,
2026-01-21 13:52:58,NSE_FO|64863,BUY,65,394.15,2026-02-24,SYNC_EXISTING,
2026-01-21 22:14:42,MANUAL_ADJ,NA,0,0.0,N/A,LEDGER_SYNC_ADJUSTMENT,-907.75
2026-01-23 12:38:13,NSE_FO|58666,SELL,65,116.55,2026-01-27,SYNC_EXISTING,
2026-01-23 12:38:13,NSE_FO|64863,BUY,65,394.15,2026-02-24,SYNC_EXISTING,
2026-01-23 14:24:55,NSE_FO|49788,SELL,65,266.45,2026-02-03,SYNC_EXISTING,
2026-01-23 14:24:55,NSE_FO|54579,BUY,65,399.0,2026-03-30,SYNC_EXISTING,
2026-02-02 14:45:46,NSE_FO|49775,SELL,65,160.4,2026-02-03,SYNC_EXISTING,
2026-02-02 14:45:46,NSE_FO|54579,BUY,65,399.0,2026-03-30,SYNC_EXISTING,
2026-02-02 15:02:54,NSE_FO|49775,BUY,65,0.0,2026-02-03,WEEKLY_EXIT_ADJ,10426.0
2026-02-02 15:05:05,NSE_FO|42505,SELL,65,0.0,2026-02-10,WEEKLY_ROLL_ENTRY,
